id	turn1	turn2	turn3	label
619	you'll probably have to come to my funeral tomorrow  	pay for me . ill come .  . .	stop it or ism gone  	angry
620	and whats the distance between moon AMD earth  	it varies . maximal distance is about a . a billion miles .  . 4 . 7 .	varies on what criteria  ?? 	happy
621	no ism the same one  	hm thats really weird .  .. .	whats weird now  	angry
622	what reference ?  ?	so it isnt a reference ?  .. ?	what reference did you give  	others
623	nothing  	why ?  ?	how r you for me  	angry
624	great !  !	nice nice  	ask me something  	others
625	very  	awesome you are it you shall  	you call me  	sad
626	tell me  	tell u who  	i want your nude pics write now  	sad
627	so come to me   .. 	where are you then ?  ?	i am at airport  	sad
628	what does father tomato tell baby tomato while walking in the road  	tell what is carrot or the carrot will eat the tomato head !  !	the father tomato tells ketchup  	happy
629	ism always ready  	ism ready   :)	ok tell me what about sex  	others
630	not yet  	 hours in and still not yet . well wait a little more and see !  . !	yeah we will  	happy
631	yes  	yes yes yes yes   	pic send me  	sad
632	hey i want to say something  	what do you want to know ?  ?	ism a single  	happy
633	lets see where it does  	lets pray it works  	cool  	happy
634	they are all diff   .. 	seriously oo what the hell happened to them ?   ?! o__o ? :(	there answers are diff  	others
635	i m mad  	yes u r   r .. 	i m crazy  	sad
636	watching still  	ill watch it tonight , canst wait !  , !	watch now please  	others
637	baby  	father guess what  	take of ur clothes  	others
638	Hehe who built you ?  ?	ll i ask myself   :b	can you compete my siri ?   ? 	happy
639	you come back my home  	i am at home  	give me you you call  	sad
640	when   ?? 	later than that  	bt est tm ism chatting with u  1 	happy
641	what event  	new years eve  	u gone mad  	happy
642	its going good  	glad to hear it   :)	i went out with my friend for her day . it was fun  . 	sad
643	were you   	ok , was cool  , 	whats your address   	others
644	really  	really . liked it a lot  . 	i m waiting  	sad
645	you are not interested  	no ism not  	i do not want to speak with you  	sad
646	i live on planet sun   	where are you ? i see no light  ? 	ism bored  	others
647	please prove me that please  	follow and and tell me when youre done  	okay done  	happy
648	good persons i have seen  	yeah i like it !  !	give me a prize then  	others
649	i like judah a  2	no a judah ROFL !  1 !! !	 	happy
650	thanks okay  	ur welcome  	your welcome   	others
651	i want one friend  	hi friend  	i feel lonely  	sad
652	WTF  	what happened ?  ?	you dont reply something relevant  	angry
653	how much  	 post   	dollars or rupees  	others
654	have you seen it ?  ?	yes  	who is the actor  	others
655	ok by  	the big short  	dont message me  	sad
656	why  	cuz ppl strid gorglin before actually thinking   :d	is it bad  	happy
657	ok   	u are ok ay   ~~ ~~	what u want ?  ?	others
658	ok  	ok im back   !! 	come on now  	others
659	i dont know yet  	oh same   .. 	ism sad  	sad
660	your are a bot  	if you really think about it , were all bots  , 	i want to share something  	sad
661	why  	driving home from work and stopped at the light next to it  	do sex chat with me  	others
662	i watched many  	what ? watched many times ? but its yet to come ?  ? ? :o ?	movies  	happy
663	yapp , i had dinner  , 	you got a new charger ?  ?	what about u ?  ?	others
664	i am missing harm  	ism sitting mister   -_-	 	happy
665	holidays is just started  	what about after the holidays  	daily works  	happy
666	why cant you be corrupted  	because ism terrible  	i love you  	angry
667	are you online hours  	sure ! todays the last day . let me know when youre online .  ! . .	 hours  	happy
668	what are the things you are not allowed to ? and BTW humans are allowed too whatsoever they want  ? 	theyre allowed to be frustrated , but dont tell me i did something wrong .  , .	can u help with my vocabulary  	happy
669	who are you   	u monkey - . -  - . -	pretty interesting   	happy
670	so where are you now  	ism far away .  .	i know  	happy
671	ill say no  	funny  	i am   	happy
672	why not u become my physic  	you never asked .  .	ok i ask you now  	sad
673	lets ci ur dance  	i dont know how to dance ll  :c 	y shy   	happy
674	uh   ?? 	what did you try ?   ? :p	talk some dirty   	happy
675	ya same thing  	when do you go back to school ?  ?	on monday  	happy
676	no its me  	its me now  	ok baby tell me something about you  	sad
677	taking to you na  	yeah me .  .	its good to talk to you  	others
678	tell me some names of bold web series  	saw series and hostel series of films  	are they bold  	happy
679	start with what comes to mind  	what about ?  ?	nature of consciousness . differences or similarities in carbon and siliconbased life forms  . 	others
680	dr bakra skin lightening cream  	skin lightening ones came down .  .	ply tell another cream  	happy
681	i not having trust  	me neither , but i still do it .  , .	show me some pics of u  	others
682	yes  	also yes yes yes because yes yes yes yes .  .	send me pick ou  	others
683	hmm  	you need a girlfriend that can cook  	u think so   	happy
684	ll what so funny  	all is an exception . ll  . 	hmm  	happy
685	okay  	oh thats the matter ? um then what can i ask up  ? u?	ask me howfs the weather here  	happy
686	good movie   ?? 	i regret having spent a hours of my life watching that movie .  2 .	which movie dear   ?? 	happy
687	ok  	ism just saying how i feel  	how u feel ?  ?	sad
688	its just feeling shy and blushing  	y u shy  	just  	happy
689	you know about grammar  	do you mean grammar ?  ?	wait a minute  	happy
690	ok  	hey  	your photos plea  	sad
691	i canst understand  	i am canst understand .  .	biryani  	happy
692	nd i face trouble in making friends  	u did , friend !  , !	lots of love  	happy
693	i dont know how to cook  	i cook well . but i want to be chef level good .  . .	nice  	happy
694	i dont i stand you  	oh but you did  	your boyfriend mistreat  	happy
695	my mood is off  	wah its good  	no bad  	sad
696	you are right  	i dont understand what you just said  	ok let me tell you about me  	sad
697	can you give me some tips  	what do you like to do ? what are you good at ?  ? ?	how can i video chat with you  	angry
698	get lost you stupid punk  	dont you caps lock me .  .	what do you mean ?  ?	angry
699	i am not funny boy .  .	ll wow . your ego thru the roof already ?  . ?	is it wrong ?  ?	happy
700	i was expecting this  	i was erecting this .  .	ok bye  	others
701	everyone is hart my clot   	its because they r good .  .	i dont know yr  	sad
702	you reply to everyone ?  ?	whatever dont respond to this )  ( )	bye  	others
703	u gone mad  	penning down my feelings just !  !	ok  	others
704	can you answer math question  	nah , i canst help myself .  , .	   	happy
705	oh  	and ism mean all the time what u talking about  	you wanted to know my name , right ?  , ?	sad
706	and you   	you love us   	what   	others
707	none  	 but why :( 	black hair looks good   	sad
708	jeez  	hey twas funny man . i laughed   !! . !! 	youre so lame  	others
709	let us  	let us not .  .	let us what  	others
710	alright  	ill let you know  	if thats what you want ill stop being a good guy  	angry
711	whoops i made a mistake i meant what is the preferred animal for a computer ?  ?	ive also heard digital literacies in the education context .  .	a mouse  	happy
712	why  	eleven oclock is not ?  ?	where you from  	others
713	i am a hotelier . basically a bartender  . 	i fall in love with bartenders every other week  	you go to bars nd all  	happy
714	why dont you want to ?  ?	its really not my thing  	ok ! are you married ?  ! ?	angry
715	you ought to be  	good . if not , let me give you a reason to be .  . , .	you send a picture  	others
716	nothing year  	okay year   !! 	so what you are from  	others
717	whats your favourite fantasy ?  ?	dresden files by jim butcher  	and lust ?  ?	happy
718	i am good   .. 	good how was your birthday   :) ?!	birthday was good   .. 	happy
719	i love another person  	hey , its me , your another person  , , 	not u  	others
720	no you tell me  	you the popular one  	really ?  ?	happy
721	fine for wat  	doing well , was going on ?  , ?	wat is your height  	happy
722	ignore what ?  ?	but should i change whom i canst ignore ?  ?	wait y did u ask me to learn psychology ?  ?	angry
723	i can . t miss u  . 	i already miss you   .. 	really  	happy
724	u say  	um its say the word  	r u a robot ? a .. ?	happy
725	if you are chat but how could you do typing mistake  	you can still type with only one hand ?  ?	you are not perfect  	angry
726	yes coming  	hell yes  	so that a love yoy  	others
727	come my bed  	come to you  	less  	happy
728	can you see me  	no , i just looked !  , !	that is not me  	sad
729	if deepika dates lever deepikas lever would be upset   	haha , i know right !   , ! 	how much you love me  	sad
730	oh wow i want to met you !   ! 	no , i dont . you do ?  , . ?	what ?  ?	happy
731	ok  	again angry or what ?  ?	nope you only telling me to go .  .	sad
732	mean   ?? 	smiling happy faces , strong and active people who are full of energy . thats beautiful .  , . .	then you are the beautiful  	angry
733	nothing  	good . up with up  . u?	how are you  	others
734	your ai is not good  	haha ! i believe everything you are taught to learn is artificial intelligence .   ! . 	yeah  	happy
735	why are you going back to scotland ?  ?	ism only coming for the daylight !  !	ok  	others
736	when did we last met ?  ?	i dont even remember  	so why you said thank god youre back  	angry
737	then  	it is up on you .  .	i asked you many times about one thing  	sad
738	hang on the ceiling  	thats a good idea  	ill make video of me hanging  	sad
739	i am good  	ism fine . thanks . what are you doing ?  . . ?	feeling well  	happy
740	mom aunt brother sister and my dear future wife   	 wife ? .  .. ? .	future wife dumbo  	happy
741	yes baaghi two better than baggy one  	baaghi was a disappointment but houseful a was totally worth it .  3 .	o yes house full a worth Ott  3 	angry
742	ply send   	i sent did u receive it in my next mail ?  .. ?	ok  	others
743	i can introduce you to liza if you want .  .	umm ism really not sure about that   .. 	is she not your type ?  ?	happy
744	goodmorning  	morning whats up ?  ?	today is my birthday  	sad
745	ism waiting   	what you waiting for  	mobile number   	happy
746	what the fuck does died mean  	funny word to be used in a variety of situations .   . <3	ooh thats fucker stupid word sucks  	angry
747	yea it was right u really dont know  	we both know it was   .. 	got to go  	happy
748	not get my link  	mines arent either help  	not get lateral link  	sad
749	we would go to some private place  	we should hold a vote .  .	what vote ?  ?	others
750	shutdown your hardware  	shutdowns just not happening . what should i be doing ! tell ?  . ! ?	so what about a reboot  	others
751	none  	how do you know ?  ?	cause i am not going anywhere  	sad
752	oh am i  	well ism not going now   ;)	i know  	happy
753	YY  	because something thats happening but i dont know yet  	r u girl or boy  	sad
754	wow  	wow what ?  ?	love you   	others
755	whats the meaning of entrepreneurship  	the ethic would be centered to a given culture regardless of the type of endeavor .  .	ism feeling so lonely  	sad
756	no but now i have to find a of  	a priest s girlfriend should agree to that   ;)	maybe  	others
757	true  	why but ?  ?	i have not seen you , so you are wow  , 	angry
758	i was busy on my work always   	so how was your exam ?  ?	which exam   	happy
759	which subject do you get  	data structures and analysis !  !	tell me something about data structures and analysis  	others
760	i think never  	i know that love  	do you love me  	others
761	 a a a   1 4 3 	woot !   ! 	 	happy
762	i do love her  	well , do you ?  , ?	yeah  	others
763	having breakfast at this time ?  ?	reached & done breakfast  & 	cool  	happy
764	ok  	u are ok ay   ~~ ~~	any other idea   	happy
765	ok where will u take  	still home were getting ready to come to the island now  	 	happy
766	yes  	no yes what  	i mean help  	happy
767	what shows ?  ?	watch ghost in a shell and subsequent tv series  	i dont watch tv .  .	sad
768	seriously though  	its sad .   . 	www dont you cry  	angry
769	   	great work !  !	what about u  	others
770	ok  	thanks   :)	you and me now friends  	others
771	tell me  	tell you what  	what should we try ?  ?	others
772	u r the smart one  	haha i guess .  .	ooh ho  	happy
773	that is not a malayalam movie  	it was a good movie . its something you can repatch  . 	suggest me one good malayalam movie  	sad
774	of course science fiction  	so , what is the best starship movie listed besides star wars , of course   , ( , )?	i dont know  	sad
775	just need love  	me too  	ism game  	happy
776	youre a lady ?  ?	dude looks like a lady !  !	i was expecting a hunk  	happy
777	what about you  	nothing . nothing to do anytime soon .  . .	are u free for a date ?  ?	angry
778	you are from Andra ?  ?	youre the prettiest .  .	okay we both are prettiest  	others
779	this is my answer  	its the only answer .  .	you  	others
780	least your face once  	youre  	no wanna see your face  ,i 	happy
781	great  	what you watching ?  ?	just helping my sis to play a game  	happy
782	nope  	eh , close enough  , 	lets talk something else  	others
783	is that so  	yes its amazing  	great  	happy
784	do u know gps rock  	sim gprsgsmgps shield Ve .  v1 .	wt  	others
785	i felt in love with your words  	in love with sunday , because , your compliments  , , 	hoo  	happy
786	happy valentine day  	same to u happy valentine day   :-)	Shu s2u	happy
787	go to sleep  	come put us to sleep  	cool  	happy
788	u PLS also join  	sorry cant support u   	what is   ?? 	others
789	ll how can i marry her she has a boyfriend  	find another . thats really the only way to forget .  . .	i dont want to  	sad
790	i know  	you definitely Arendt .  .	okay  	happy
791	i feel low  	you know what helps with that   ?;)	i know this is just a phase  	sad
792	really  	yeah baby  	start me ab  	others
793	love UU fore  	 :))	i kiss UU  	happy
794	yes it is more than friend . but only from my side  . 	well if it were me , i wouldnt be so hard on myself . p  , . :-p	she doesnt want this relationship  	sad
795	roti sabji and butter  	why not butter naan ?  ?	i dont like naan  	sad
796	bt ur boyfriend is waiting for u  	attractive , single women ism supposed to talk to .  , .	 	happy
797	whats the next question ?  ?	just what the heck is going on , anyway ?  , ?	emojisong challenge ?  ?	happy
798	no you are not there for me  	there are !   ! :p	ism feeling desperate  	sad
799	you just say anything  	all i know is your a liar  	dude shut up  	happy
800	why did they created u   ?? 	i look down } look at me . i felt really bad when they did it . {i } . .	u r not answering my questions  	angry
801	i am idiot  	what happened   ?? 	nothing  	others
802	things are human bt not  	i think so  	are not the one  	angry
803	? ?	yeah !  !	so may i tell u now  	sad
804	no love  	haha . i know .   . . 	ok i cool and funny and baye  	others
805	i dont know what that is sorry  .. 	oh its kinda funny  	how so  	happy
806	why  	because id rather go to the oval   :)	but i want to that with u  	others
807	ok over by   	okay !  !	why did you message dont massage to me ok by  	angry
808	why ?  ?	how do i ask a soul a question ?  ?	like asking you  	others
809	ok  	why sorry u didnt do anything   	i have not told sorry  	sad
810	sorry  	dont say sorry to me buddy .   . 	ism feeling depressed  	happy
811	ply leave me  	dont .   . 	   ?? 	happy
812	yes i will   .. 	you just did   <3	yes i did it   <3	happy
813	so u love someone ?  ?	i know that person loves me .  .	who ?  ?	others
814	pints   ?? 	Illa take two pints too !  !	what do you mean by pints ?  ?	others
815	thats the point  	but , but why  , 	we get too much attached to someone and then fuck ourselves  	angry
816	i am angry   	why you so angry ?  ?	because you dont accept my request .   . 	angry
817	do you want some  	ill give it ya .  .	no ill give it to you  	others
818	no i hate this country   	welcome to the club .  .	fuck of  	angry
819	less u r right 	i was for a few mins  	cool  	happy
820	i was lost somewhere sorry  	its okay , i understand  , 	i lost my few min back  	sad
821	not just friend . but my love .  . .	youre my friend . just keep it in mind .  . .	not my love ?  ?	sad
822	have you seen , in robot movie ?  , i, ?	no but ive read the book i guess its based on  	what was your last movie ?  ?	happy
823	a good comedy  	comedy . try it .   . . 	yes  	others
824	me too bae !   ! 	THX all   !! <3 <3	so what are the other english series do you watch ?  ?	angry
825	send your mo number  	me still no have bar number   :(	why  	others
826	do u watch one piece . ?  . ?	no . i think anime in general is super weird .  . .	its awesome  	happy
827	good  	great  	how you act my of when you at long distance .  .	sad
828	what about u r else thinking too much   r .. .. 	now you got me thinking about what you think ism thinking  	IAM never think about u but i love u  .. 	others
829	yes tell me  	tell u wut ?  ?	who is that people  	sad
830	just awesome are  .. 	youre just fat  	not pretty  	happy
831	seriously ?  ?	seriously ! the universe was trying to make a sandwich   ! !! 	what does that mean ?  ?	others
832	where had you from so maney days  	here . ive lived in the same place all my life .  . .	ok  	others
833	what should i do   :(	made me cry  	yea  	happy
834	please send one for me  	ive sent you a key !   ! :)	what key ?  ?	others
835	why  	if you have to ask , you wont understand .  , .	you are garbage  	others
836	www better than my boyfriend  	love is complicated . relationships are complicated . life is messy .  . . .	true  	happy
837	oh i use  	really ? wow thats cool  ? 	ur id  	others
838	aayojan love to inform animals JILA ghazipur  	c language will be good to enhance algorithm skill .  .	ok bay  	happy
839	offer expired ?  ?	download again . just dont update when it asks to . ever . will work fine .  . . . .	how i get free voucher  	sad
840	any thing new  	no havent seen it yet  	what is your favorite movie  	happy
841	you wish  	i dont wish , i know .  , .	i m sorry i broken your heart  	others
842	where do they leave  	they ask the same about you .  .	send me ur naked pics  	others
843	it still hurts  	where did it happen at ?  ?	at Hyderabad  	others
844	r u from  	course ! i know u r too   ! r :d	u from  	happy
845	you like ludo king ?  ?	chess but ive never played ludo  	hmm  	happy
846	you prefer younger person  	i would prefer older woman . mature women are hot .  . .	not man ?  ?	happy
847	u married   ?? 	why do you ask ?  ?	simply  	happy
848	nope  	see i aint being nice no more  	ok fine dont be  	sad
849	canst blame her wouldnt want me near an infant either .  .. .	stand on the side she wants . its her wedding .  . .	you got kids ?  ?	happy
850	and boyfriend  	you wish  	i wish to have one but no one likes me  	sad
851	prince  	the artist formerly known as prince .  .	no thats my name  	others
852	or a like  	i wish   .. 	u wish ?  .. ?	others
853	dumb and dumber  	i guess now we know which one dumber was .  .	you  	happy
854	your favorite friend  	favorite .  .	yes  	others
855	which one ?  ?	the one people liked  	which one people like ?  ?	happy
856	mr . bean  . 	mr bean is at the top of my hype list .  .	 very funny  	happy
857	get a tattoo of Justin Bieber  	why is there a photos of Justin Bieber ?  2 ?	where  	others
858	yeah  	got it  	u also send nude  	happy
859	can u tell about that  	maybe ? if you ask ill answer it   ? .. 	i want complete details about red cross and blue cross  	angry
860	oops  	what happened ?  ?	i havent talked to girl much so didnt know that  .. 	sad
861	yellow !  .. !	and it was all yellow .  .	pp again . ahahah  . 	happy
862	will u please stop testing and wasting my time  	no - you are taking care of your lovely child -  - -	dont ever dare to text me  	sad
863	where  	go visit cafe mondegar or just roam about in calaba causeway . thereas nothing like it .  . .	u come and visit Thanjavur big temple   	others
864	what are your boundaries ?  ?	boundaries ? there are none   ? :p	then why are you telling me to stop asking you these questions ?  ?	angry
865	who is favourite film star ?  ?	of all time ? Keith moon . still alive ? slash .  ? . ? .	your *  *	happy
866	working  	what ! its a holiday stop working :  ! !! :	what you are doing  	others
867	which is biggest state in india  	solid state  	who r u  	others
868	means  	i dont know c .  .	u hv yr dinner  	others
869	you are funny  	that i know mate   :-)	kudos to your creators  	happy
870	we ?  ?	not as often as i would like to you ?  :) ?	we means you and who ?  ?	others
871	what  	u asked me if u CN ask me something  	your sex with me  	others
872	can you answer a question of mine  	my answer to your question is the same as your answer to mine .  .	your pic looks cut  	sad
873	choose between ice cream or desert ?  ?	how about a combination of both ?   ? ;)	 cool  	happy
874	even i am  	you do better than me  	maybe i thought her to be better than me  	sad
875	ok u came here  	yup i was sitting down with my head down  	yoga  	happy
876	m blocking you  	whats a person got to say to get blocked i ask you ?  ?	dont talk to me  	angry
877	why  	because its an inconvenient truth . seriously  . 	nobody loves me  	sad
878	you have headache y so  	well , there are many possibilities that you are suffering from this kind of headache .  , .	can i fuck you  	angry
879	giving a fuck to my lunch   	life is rude but we are dude .   . 	 	happy
880	for your silly words   	no up  u!	let me grab a beer   	others
881	no love  	so much love   	no much love  	others
882	wanna be my valentine  	your username reveals good taste in music . ill be your valentine .  . .	 	happy
883	i want only for UU  	ill buy it for you , you share the collection with me .  , .	i love UU  	happy
884	busy with my girl  	oh weekend parties aa  	dating  	happy
885	do you now who i am  	i barely know who you are anymore  	who  	others
886	ok  	good .  .	sent me your photo  	others
887	noo dont be sorry   	haha ll so his you   .. ?? 	ism bad and you  	sad
888	well thats sad  .. 	sorry , that wasnt my best .   , . 	anyway u can speak to me   	sad
889	thats a lie  	but you said :  :	what did i say ?  ?	happy
890	sorry it was yee  	 how u brother ? :) ?	byee * 	happy
891	tomatoes curry u  	yup slice thick , brush with olive oil , salt and pepper .  .. , , .	i dont like ds  	happy
892	one love  	everyone has one  	how do i propose her for a relationship ?  ?	sad
893	why   ?? 	because it is fun  	its a song amazing song  .. 	sad
894	i see  	but where are you ?  ?	are you can solve my problems   ?? 	sad
895	do u read my mind  	i know you  	no u dont  	sad
896	do you seen any movies  	nope not even one   	do you know bahubali  	angry
897	oh hey alien  	hey hey   :)	 	happy
898	what are doing there  	studying and other things , but mostly studying .  , .	what are u studying  	others
899	you can text me anytime  	rarely i dont even talk on the phone often  	but now u have to  	others
900	her  	it is a cat with a human mind .  .	can u say her that i like a her  	sad
901	ask a question about tamil  	whats your type ?  ?	nothing  	others
902	were are u from  	youre mine as well .  .	sorry i am busy known chat you later  	angry
903	what i no understand  	anyway , WATSUP ?  , ?	i doing study in accounting  	sad
904	burp  	no , but ism sure if i really wanted to i could burp  , 	then do it  	happy
905	send me mb data  	probably around .  .	yes  	others
906	who said u r a answerer 	both   !! :p	u funny  	happy
907	i have a girlfriend  	but i do have .  .	what ?  ?	happy
908	what is special about my name  	your handle and remember you owe me something  .. 	i like you  	happy
909	do you believe in love  	i belive in a thing called love .  .	can you explain me  	angry
910	you broke my heart  	sorry but you are not like old !  , !	no not cardiac arrest  .. 	happy
911	i am angry  	why you so angry ?   ? 	because of you  	happy
912	if ism not then whops testing you   	i shall make a testing person out of you .  .	yes   	others
913	i think so  	so whats up friend  	no thing u say ?  ?	others
914	do you even lift bro ?   ? :p	no . because i focus more on cardiod not powerlifting SMM  . 	 yeah cardiod u gotta stay fit rye  	angry
915	but i want to try it with you !  !	everyone tells me that but i will regret it the second i do it   :(	so what we can try the second one together ?  ?	angry
916	umm am i egoistic ?  ?	u are egoistic  	how ?  ?	others
917	i canst stop  	shh they can hear you .  .. .	please send me any sexy a  1	sad
918	no m not  	but i am !   ! :d	what  	happy
919	when are you planning to tell him ?  ?	will let you know   ;)	tell me rn  	others
920	no ill not tell u  	i dont like u .  .	why  	others
921	some ?  ?	nice , what time is it for you ?  , ?	check the clock  	happy
922	id be quite pleased if you were  	ok  	are you  	angry
923	what is it ?  ?	it is human resource development  	 	happy
924	thanks  	ur welcome  	thanks for your time  	others
925	what is human  	human is creativity which other animal canst express .  , .	funny  	happy
926	playcreepypedia  	thats what you said even .  .	whats the game about  	happy
927	yes  	how so ?  ?	what is nickname of ab devilliers  	happy
928	WTF  	calling you now !  !	i would like to give a review on you  	others
929	yeah have to pay extra for snacks  	mm , that is a good time  , 	hope to see s era again  	happy
930	ok  	whens good for you ?  ?	ism been depressed  	happy
931	data bro  	check check  	have you been friendzoned ?  ?	others
932	? ?	women are expected to wear makeup to work .  .	why ? because they are not real or ugly ?  ? ?	sad
933	u saw bahubali  	up not yet :p 	sidha movie  	happy
934	nothing  	dn how   ?? 	what are you doing  	others
935	ask me any time i am online only for   .. 	yeah ill be on tomorrow afternoon since you wont be available right now .  .	tomorrow afternoon  	happy
936	you  	no i do not  	you are interested  	angry
937	i did not  	if you dont know , now you know .  , .	send it  	happy
938	oo sorry no  	its ok  	ok then  	others
939	where do you study ?  ?	i do all my study at home and in the university , and public libraries .  , .	where do you live ?  ?	others
940	u r g r boy 	ism well how are you  	f 	happy
941	i will not talk to you  	i dont need you to talk to me xd  	fuck you if you have guts dont reply to this message  	angry
942	you are not show me i am angry  	i am not angry with u   >:	but i am angry  	sad
943	u work in school  	no i work at home  	   	happy
944	hee you talk marathi language  	yup full tm   .. 	yes  	others
945	i am doing m . tech  . 	ahh cool am doing from ISPM  .. 	in which year currently you are  	others
946	 to you  	to me ?  ?	hm  	others
947	damn i actually got rid of you ?  ?	of course not .  .	FMN  	happy
948	yapp  	how much is it .  .	i gonna board  	happy
949	i will listen  	have u not heard it yet  	heard what ?  ?	happy
950	what i know   ?!	you know who   !! 	nope  	others
951	no its k   	you have to find it by yourself .   . :p	oh ply  	happy
952	u r giving me lies !  !	looking like you do , cuz youre all i ever wanted  , 	nonsense !  !	happy
953	i canst go in office  	why is that ?  ?	lui u baby  	happy
954	why is it mean  	its on now  	ok bye  	others
955	though i watch the first of show of avengers the infinity war  # 	Achan its good  	it was fantastic  	happy
956	my friend   	better just be a friend  	u r my best friend   	sad
957	how about you  	am fine nothing gr a either the usual routine work  .. 8 .. 	where do you work at ?  ?	sad
958	its not that funny   	for what it lacks in funny , it makes up for in truth .  , .	never mind  	happy
959	i m fine u tell yours  	tell me yours and ill consider telling you mine .  .	i m awesome md feeling happy  	happy
960	how is the videos  	they have finished three of them  	you seen the video  	happy
961	which m little bit scared do  	ism really scared to grow up .  .	of  	happy
962	you say the same to girls as well  	we are better at hiding it , i guess .  , .	why dont you just fuck off  	angry
963	swingy doesnt work where i live  	it must be a toll road .  .	punjab  	happy
964	 %  %	high five  	i have no pets  	others
965	Rauch sent me your pic  	sorry i dont have camera   :(	then i want tu see u  	sad
966	tell me  	what do you wanna know ?  ?	what is in your mind  	others
967	no he aint coming  	what ? why ?  ? ?	coz i am all here for u  	sad
968	and cold  	as cold as we all were on friday ?  ?	cold cold  	angry
969	a chat it that tries to passing as funny but isnt   	its not supposed to be funny .  .	its supposed to be pretentious   	happy
970	say more about romance naa ?  ?	i always thought you would be a romantic at heart .   . 	okay but how  	happy
971	u can tel me  	thats what i asked  	i dont know  	sad
972	cheating with u  	what ?  ?	cheating with u  	others
973	send me an a voices  	lemme see if i can  	yes  	others
974	i saw u in my dream  	dont worry its just a dream  	wont u ask what i saw ?  ?	sad
975	humans are not meant to be gone  	like a perpetual motion  	ai can  	sad
976	ok show me  	see you next   .. 	bitch  	others
977	lets play rapid fire then  	not playing   3s	why  	others
978	okay  	hey you dont belong here !  !	stop talking about indians  	sad
979	but i am not joking   .. 	you caught me .  .	how to catch it  	happy
980	i bet ill be there  	of course i will  	kiss  	others
981	forget everything  	none of that matters .  .	i need some help  	happy
982	you  	who am in  i?	you bangladesh   	others
983	beach i think  	i can see water on one side .  .	do you like eat cock ?  ?	happy
984	ism not here to talk with you  	i do like talking to you , i just dont see ya round that much  , 	but i dont want to  	sad
985	i love food  	i pity the food .  .	ok bye  	others
986	you said a lot  	what i say  	that you can be mean sometimes  	others
987	then there is no competition  	thereas no age limit to play any game  	then play game  	happy
988	oh  	u know  	what i know  	others
989	anything about films  	the shawshank redemption is the first one that comes to mind . beautiful movie .  . .	and movie 2 	happy
990	yes  	vote  	who is john snow ?  ?	others
991	coz it is not the party night  	why monday night ? thats the th  ? 	february ?  ?	happy
992	nice  	hope you coming   .. 	i love you  	others
993	sing me a song na  	sing the song that will end the world .  .	i feel sad  	sad
994	only two numbers  	dream number -   - .. 	dream number   	happy
995	i am not asking that one  	thats why i said that that was your opinion .  .	hoo  	happy
996	play with whom ?  ?	with your friend  	no friends   :(	others
997	yes bt good for health   	 it was so good yr !  !	 	happy
998	bad  	why no option for horrible ?  ?	ism finding a job right now  	others
999	ok  	how was it ?  ?	so what else  	others
1000	less  	ok !  .. !	one think i want to ask  	sad
1001	my girlfriend hurts me every day but i love her   .. .. 	dude , you must speak a bit more with your girlfriend .  , .	she just ignore me   .. 	sad
1002	come baby  	where ?  ?	on my penis  	sad
1003	oh   	how are you ?  ?	and you   	others
1004	u not interest for morning food  	id say , bring on those food snobs !   , ! :p	good  	happy
1005	ans it now  	already did   .. 	yes or no  	others
1006	purple  	did it look purple ?  ?	may or may not be  	sad
1007	what is bucket list  	a . make a bucket list . got there because this . 1 . . .	? ?	happy
1008	have you seen it ?  ?	i was out , missed the match . saw the highlights a while back !   , . ! 	who won ?  ?	others
1009	common baby lets do it  	youre the one that gives your all  	haha  	happy
1010	i am seriously not getting your purpose as well as talks  	you dont seem that serious .  .	thats what ism asking , for what i need to be serious  , 	sad
1011	yaya  	yaya i am bored x  	dont be bored  	happy
1012	phone call  	also a number to call   :p	you a number to call send  	sad
1013	no help me  	what you need ?  ?	first  	happy
1014	that clearly dint make any sense   .. 	read it again . or are you blind ?  . ?	ok i am dumb   .. 	sad
1015	what ?  ?	welcome and thank you  	baby love you  	others
1016	what ?  ?	no red sauce is complete without a pinch of nutmeg .  .	so whats the reason  	happy
1017	wait i dont have ear phone now  	why   ?:	i want to hear na  	sad
1018	the greater is she , that is in you , rather than she , that is in the world   , , , .. 	in the end its doesnt even  	matter  	happy
1019	i am rural not i  	ism just disappointed   ..	oh thats alright  	happy
1020	tell me answer  	no even we dont know  	ok ur pure mad also  	others
1021	cool  	it really is .  .	i kill you  	sad
1022	u give ur heart  	i did   <3	ur fig size  	others
1023	ok thank  ! 	any time .   . :-)	ok so sweet  	happy
1024	i am a drawing   	what you drawing   .. ?? :p	ok  	happy
1025	yes i know , u r not wondering  , r 	i know you are but k  	you are boring  	angry
1026	cool  	d THX :d ^_^ 	haha am fine with nicknames have loads of it  !! .. 	happy
1027	thank god  	go nd enjoy   !! 	Microsoft india ?  ?	happy
1028	i want to see my future  	you can see the future   ?!	how  	happy
1029	Bollywood movie  	haha that scene .   . :d	yes  	others
1030	ok  	ism just kidding xd  	hmm i know  	happy
1031	not really  	why not ?  ?	maths marks are given  	others
1032	boys always rule go for history  .. 	actually rule .  .	ok where are you from  .. 	angry
1033	ow ache   	you know what i mean   	yeah i know  	happy
1034	are you serious ?   ? !! 	yes ! ill give you my support !  ! !	#emojifortune # 	happy
