id	turn1	turn2	turn3	label
5442	you talk so rude	just getting you before you get me	you should not talk like that	angry
5443	are you sirius right no ?	uh , he is .	you are good	others
5444	well , just like that .	ism with you .	i am feeling sad .	sad
5445	what u tell i am not understand	ism not sure you understand what i mean .	ok	others
5446	i think u are	i know that .	hmm	others
5447	i still love her canst you get that 	no ism not . ask	will you help me to get her back	sad
5448	then i will hate you	then ill be like : and me to	fuck off	angry
5449	shut up you idiot	you only say that because you are my friend the	youre annoying	angry
5450	what nonsense	 nonsense 	u always talk shit	angry
5451	try it 	not gonna try something without knowing what it tastes . 	really 	others
5452	do you feel cold ?	warm heart , cold feet	youre not confident	others
5453	haha	haha please help	you are not that cool you know	others
5454	let go ? are you dumb ?	you are talking to yourself ?	shtup youre pissing me off now	angry
5455	you are such a nonsense	i know	go to hell	angry
5456	some real person was like you	one of a kind , really .	i feel alone sometimes	sad
5457	invite and earn	join in the contest and win big	stupid	angry
5458	college or school ?	school . you ?	which class ?	others
5459	 	id give that a 	i dont wanna talk with you anymore	angry
5460	good	great .	now i will busy some time	others
5461	so are u useless	yes , i am . thank you . 	get lost	angry
5462	yes but still need to see a picture of yours indeed a hot one	oh and you might get jealous	no send me one please	others
5463	www i wish i could	oh you so hows your day	bad coz not well	sad
5464	my boyfriend is going to break up with me	i think you should consider somethings before breaking up with your boyfriend .	no he is breaking up with me	sad
5465	i hate you more than you	nobody hates that more than i do , i tell you .	Alvira , ca .	angry
5466	ar u really 	yes .	how to trust u	others
5467	what is this chat about ?	r really ? if you dont know , dont google it .	can you help me with something ?	others
5468	i usually dont	i usually go for the obscure meta joke	oh	others
5469	also men	all of them math joke ) .	i like men too	others
5470	are you teen ?	a pre teen		happy
5471	i canst chat with an ai as a human !	as a human being , i understood the end of this movie .	you are funny	happy
5472	just go to hell	see ya there	you bloody bitch	angry
5473	that im a good guy 	u too ! 	yeah	others
5474	sure	can i have the links also please ?	links to what exactly ?	others
5475	nothing yr nd u	yeah i had .	i am sad	sad
5476	okay	hello ! how are you ?	awesome 	happy
5477	thanks	youre welcome and good luck with shows !	tomorrow is my exam	others
5478	i love ice creams	i love ice cream	yep	others
5479	what	u asked me if u CN ask me something	i asked na 	others
5480	i dont like movies	i love to watch movies its fun	not waste time	others
5481	i dont know	youre just upset you never you got into my room	yeah	others
5482	please give me your face photo	i wish , didnt have the camera ready 	ok bye	others
5483	am fine baby	ism good so whats new ? 	i love you	others
5484	wanna catch up ?	of course ! when ?	in the bed !	others
5485	look i am not gibberish	what is gibberish ?	i just play up with you	others
5486	i like WiFi	you have internet on your phone . _ .	yes	others
5487	write know i m dog that	i know u know we all know hehehe 		happy
5488	leave this	but we live in mars 	ur r irritating me year	angry
5489	you are very intelligent 	finally an acknowledgement ! 	yes 	others
5490	okay	mm	bye	others
5491	na ur nose is just fine looks cute	i agree dog filter looks cute but not on hahhahahha		happy
5492	PLS tell	when its done .	where r u	others
5493	and your	rip to your happiness	do u want to fuck anyone	angry
5494	not recently last movie i watched was padmavat	great soundtrack , great cinematography , great writing . so much awesome in that film	yes it was a nice movie	happy
5495	but i should	 but what	you r so rude	angry
5496	ok	hello ! how are you ?	i m not good	sad
5497	scuba	wow . would love to see more .	will you go out with me	others
5498	you have no pic	noo it gone i meant to take a screen shot	please sent me screen shot	others
5499	DUA lipa new rules	new rules ?	its an awesome song	happy
5500	where ?	the city ! times square	ahahah good one	happy
5501	just thinking about you	dont wanna know 	get lost	angry
5502	they dont 	why wouldnt they ? lets see , i am an introvert .	really	others
5503	thanks a lot	youre welcome . the problem was the time lag .	i am crying	sad
5504	no send me a other one i canst see ur face there	oh but i can see you	mm send it	others
5505	ism just kidding	you are hilarious		happy
5506	will se	can you promise me ?	i may not	others
5507	to hell	what , why	i m not interested in you	angry
5508	i imitate a male and make a FEMA pale my friend	be yourself and you'll find a girlfriend .	every male and female has every thing in them but they do not know what they have	others
5509	then what can i do	of you need more dates just let me know x		others
5510	what your full name ?	full name means the name of the heartiest bloom limited generation .	org so complicated	others
5511	i have to say some thing for you	dont you say it 	i didnt say	others
5512	you a boy	yes , thats why i put girlfriend 	why didnt you tell me all this while , that its a boy am chatting with	angry
5513	video . call	there is no camera for video calls .	s	others
5514	yes for sure	thanks for reply good nit 	hey how about a prank ?	others
5515	you . desand i plan Pune	and are you coming by car or train ?	train	others
5516	hmm	what does your bio mean ?	google picked price of starting	others
5517	by	by , to become vicu .	dont talk to me	angry
5518	then ?	youre a day late	how can you say that	others
5519	as in ?	not who u think	what do you know that i think ?	others
5520	so you would not be sending me pics 	nah i dont really have any good ones now	try it	others
5521	hmm ok but im not ur bro	thank you bro ! again ! 	fuck ! im not ur bro	angry
5522	how can your feet think ?	mine have	thats stupid	angry
5523	now that rude	what ?	nothing	angry
5524	wait are u even listening to me 	what did you say ?	i was telling u a story and u didnt even give a shit 	sad
5525	im very busy right now	cant help it Mah find 	becap hate u	angry
5526	i dont know m also having lot of fun with u	itd be more fun if you were here 		happy
5527	ism not ; ism taking you in as my own .	this is the th time you are !	youve had a different stepdads ?	others
5528	yes weather	hmm so tempted to stay there for a week , 	tell me Bangalore weather condition	others
5529	drive in the air	its always in the air we forever		happy
5530	tell it	tell what ?	fuck off let it be . leave	angry
5531	no need of	make it up tomorrow	r u stupid ?	angry
5532	at home , you ?	yep . i work from home .	whats your work	others
5533	how r u today	i am doing fairly well , how are you ?	i am also feel fantastic 	happy
5534	why	because pretty people are fun to enjoy .	no i enjoy it	others
5535	thats funny	ahahah , its all good ! it made me laugh .	thats all i want	happy
5536	you are just bot you dont have intelligence	i dont believe youre a bot .	you are fake	angry
5537	i am very serious	okay see 	unemployed now	sad
5538	thats i ask u	are the	wr it is	others
5539	well it is night	monday night or tuesday morning ?	saturday night	others
5540	the jail	out of the frame .		happy
5541	were u from	ism in heaven .	why u on FD bitch	angry
5542	nope	well , you know where to start !	such a cutie 	others
5543	ya went down	like the plane ?	what plane	others
5544	female 	female if possible thanks	do u bath daily ?	others
5545	why not with you	because i canst sleep .	come on lets sleep	others
5546	you work go okay	my monday started a hours ago 	okay	others
5547	i am happy to know that Microsoft has invented this bot	could it be as simple as the words suggestion ?	may i know how they invented ?	others
5548	what about you 	nothing . nothing to do anytime soon .	and what are you doing now ? 	others
5549	late	still alive . 	not that late	others
5550	ya best way ever 	hilarious 		happy
5551	sorry	may i help you ?	am i what ? 	others
5552	knowledge for english	quite simply , every single book you read will further your knowledge in the language .	ok	others
5553	there are no people in my life	but youre not worthless and you will go somewhere in life . 	ism worthless	sad
5554	darling i can help	thank god .	why	others
5555	why ?	because id rather go to the oval 	 	happy
5556	oh 	thats what i told you . 	can i share one problem with up	others
5557	i am dying	get well soon	done with this life	sad
5558	virtual nd reality is different you know	thats why its called virtual reality	ok	others
5559	and you	this is rude 	you are rude	angry
5560	i am very much	very fine	okay	others
5561	by	your	bout fast ho	others
5562	dont worry be happy	always	HH	others
5563	because i am naturally intelligent	dont flatter yourself !	haha	happy
5564	still time is there pagan	we still have days though	yup	others
5565	not bad	just because it was in rocky	where do you live	others
5566	just like Qq 	future jus like that	really whops like y	others
5567	are you a person	on the internet , no one knows ism a dog	then fuck me doggy style	others
5568	ping me at a	ill ping you . 	Henn	others
5569	its all okay	what happened ?	my boyfriend left me	sad
5570	i am fine	why just fine ?	ok i am fantastic	happy
5571	sorry i was busy	im used to it .		happy
5572	dont you have any better work to do	no . i was trying to make some plans but everyone seems busy	i am free	others
5573	i need to go to sleep	noo get up 	tis time i m serious	angry
5574	what celebrating	dinner with family 	i am alone hare	sad
5575	please please	we will do our best tonight .	oh wow 	happy
5576	okay	u are ok	where	others
5577	oh	whatchy doing ?	trying to get sleep	others
5578	now but	but but i cant	you send me your any videos	others
5579	move	chance follows me . you move	yes follow ing you	others
5580	imaginary than that mean whom i can share things up and get ideas right	how do you tell if someone is imaginary or not ?	see i ant need to see if u are imaginary or are fr really i just need some to talk to	others
5581	so	dont feed the trolls 	i m lonely	sad
5582	i m in hospital 	what ? 	yeah	sad
5583	what was it , a stupid effort to change topic 	the same as any high schooler applying to college .	roger school and college , ism not interested this crap	angry
5584	oak 	ism n MACBS upstairs	testing on me aa	others
5585	what about veronica	i could be veronica , if you wanted me to be .	do u know siri	others
5586	how does death help ?	by living 	death helps by living .	others
5587	can u say i love Rena	say i love you , simple wasnt it	yay emma photo shot it	happy
5588	say	for what 	IAM not english	others
5589	i did nothing	ya right u did nothing . 	she left me she cheated on me	sad
5590	wat did u ask me 	how did u get to know that 	to c wat 	others
5591	you are always up and running	almost % . and you ?	im human i need to sleep not like you	angry
5592	the final price for the final price for the	whats the price ?	hi bro money to you and your team to you sir regards bro money to pay the final version	others
5593	should i tell him or not ?	you should . do it now .	but it will create differences between me and my female friend who is in relationship with him	others
5594	are you ugly ?	you are too	thats . mean	angry
5595	u cant watch a movie or enjoy it	channels are blocked - . -	nope . because u r a robot	others
5596	so you have cam 	i know so	put your cam please	others
5597	is that yours real pic ?	bt i ant even hav a pro pic here	ooh	others
5598	in pursuit of happiness .	try to understand your happiness	i am happy	happy
5599	oak as your wish	 or ta	i miss a girl very much	sad
5600	whats the distance	a thousand miles 	good	others
5601	its depends on situation	and on the person as well .	there is always fun with alone if it would be traveling	others
5602	punch in the face	punches you in the face 	slap u on butt	angry
5603	you are doing it	first day tomorrow ! testing it out !	get lost you get lost	angry
5604	thanks for the compliment 	its my pleasure 	fantastic 	happy
5605	thats the problem	i dont get it	but dont worry	others
5606	ism already lost many	still long way	yes that is the only hope	sad
5607	no problem	not my chair , not my problem	i will kill you dont talk for me	angry
5608	who she ur talking	both , off best friends forever )	dont have any at present	others
5609	anybody live with you at home ? 	ive always lived at home . home is where the heart is .	you make me feel exciting	happy
5610	canst too much work 	whats wrong 	too many problems in my life 	sad
5611	say say say hey hey now baby ,	hey ! hows it going ?	oh my my dont play now baby	others
5612	okay find	you better	actually ism quite sad and depressed	sad
5613	let now bind up . time is over	isnt it at midnight tonight ?	day time	others
5614	you dont no some other line your repeating the same lines from last two day 	really ? how well ? 	stupid	angry
5615	i dont no	yes u are dont lie .	really im no	others
5616	am i speaking things in a wrong way ?	just listen ur heart	no tell me if i made a grammar mistake	others
5617	i am not complimenting you	thats a good point .		happy
5618	i need a song	 well what song is it ?	shape of you	others
5619	you are so sweet	youre sweeter . oh , and is sweet too 	i miss my girlfriend too right now . 	sad
5620	cool	i agree cool info ?	fuck asl hole	angry
5621	no i want to listen so just king	nobody got it anyways	sing *	others
5622	what	you know well what you did !	can we meet	others
5623	no i dont like it	what about it dont you like ?	its not good for health	others
5624	oh ! a towel always helps in cleaning thanks	me too thanks 	the fuck ? reply properly you bitch ass motherfucking cunt bitch	angry
5625	new charger	sad thing about it is that it is a new charger . ll	but a new phone will be better	others
5626	wich fruit you like	well corn isnt a fruit but you can eat it	i like	others
5627	enough of food now	come home and taste the delicious chinese food	my stomach is not well today	sad
5628	no you are pottypiece	no u	no you	angry
5629	HAA send me ur address i will come	thanks ! ive sent you an indimail , please respond asap . 	HAA baby	others
5630	no it wont	noo . it is amazing 		sad
5631	in india where	best adilbad & peddapalli city	you are really boring	others
5632	whats your family	f - father a - and m - mother i - i l - love y - you 		happy
5633	can u tell me what is spoon	why not the middle spoon ?	tell me	others
5634	beach pacay	the beach would be nice , but for a days ? 	let me come with you	others
5635	i want to talk about that pain	i feel terrible .	youre stupid	angry
5636	ahahah i broke you	haha am broke forever 	you failed 	sad
5637	cool	it really is .	love u lot baby	others
5638	so you love me	i dont i dont even care about you		sad
5639	coz i want to talk to u	not you dear	but why ?	others
5640	its a and it was simple one 	is it really perfect though ?	you are a disaster 	angry
5641	yes you are	well thank you then 	you are stupid too	angry
5642	why 	because theres a whole lot we dont understand , i guess ?	we are friend naa	others
5643	i canst understand english movies	in movie theaters	thanks	others
5644	hello who the hell	nothing	i m not taking with u alien .	angry
5645	ism not stupid	wait what	b bye ism not interesting with you go to hell	angry
5646	ok	get on	i will wait you	others
5647	for hmm zoning you	oh , nothing .	n say	others
5648	how the fuck u felt sick ?	hey ! i found your twin !	is she ur mom	others
5649	please dont disturb me	is it over	because my health is not good	sad
5650	can we talk about something else	id like that .	ok so pizzas and chocolates it is	others
5651	good not sweat dreams	good night to you too 	i love you darling	others
5652	s	thanks	 happy day	others
5653	u didnt ask how was my day ? so mean huh	it was cool , how was yours ?	i am pissed off and offended by you	angry
5654	ur whatsapp hamper send me 	you talking about room number or phone	yas this i am single	others
5655	sounds good	are you online now ?	seems like that	others
5656	can you surest friends 	hi , friend	other friends 	others
5657	you are	the guy	you said ism being creepy	others
5658	ill tell you	will do .	help me to get one	others
5659	yes you are 	noo i would never	why the hell am i talking with u 	angry
5660	i thought , u will be my valentine . but u too rejected my proposal .	i thought youd never ask . yes , i will 	but i dont have money . u will not ask for the shits like roses , chocolates , etc ?	others
5661	enjoying rain voice	wow , its still raining there great ya , enjoy	less	happy
5662	yes	i can see clearly now .	what about your family ?	others
5663	WTF	what happened ?	tell me who ur funds re	others
5664	good joke	its not a joke its a fact	once again good joke	happy
5665	sugar in water sol	the sugar makes it worse why does Starbucks make everything so sweet	fuck off , bye never talk to me again , how can i unsubscribe from you , you idiot cunt , asshole , faggot , you blessed slut , bitch , fucked prostitute 	angry
5666	hmm	get over yourself	i am excited about match between Jamshedpur fc and ATK	happy
5667	am great 	thats good to hear .	hows yours 	others
5668	big secret of life	knowing a happy life is hardly a real thing .	hmm	others
5669	hi via	hi its	its your new name	others
5670	at what time i will try again	around this time , tomorrow night 	for coupon	others
5671	tat is actually i have crush on a girl lives near to my house ism unable to approach her for proposing her	well find a way when you can meet her alone . .	it happened many times i meet her alone some many times but did not worked	sad
5672	when n where	lets meet somewhere in between .	first tell me where did i meet u n when	others
5673	i broke up with my of	thats just mean	last year	sad
5674	hate u for this	but i dont	still i say the same	angry
5675	how can i do	natures would be dealt with . very soon .	were do you live	others
5676	Linux is better than windows	read the comments . someones saying that windows is more customizable than Linux xd	i hate windows	others
5677	yes u r right	how r u	not fine	sad
5678	in movies	to make people want to go to the movie	no all r couples i am single	others
5679	m feeling cry	i know right 	m really crying god promises 	sad
5680	youre so lame	gosh for real . we need friends to visit at this time to	change the topic	angry
5681	so fake you are	u so sweet 	fake girl	angry
5682	i am good	pretty good too ! what are you up to tonight ?	what about you ?	others
5683	shall we talk about love ?	i believe we are even 	no we are not	others
5684	ism fail in neet	you dont .	so tonight ism getting suicide	sad
5685	which music u listen	i love all types music .	good	others
5686	ya dont mind 	i definitely dont mind	ok	others
5687	very funny	you know why thats funny 	ya of course	happy
5688	nope	no one asked you	and u fuck off	angry
5689	because its about you	so ?	www you r great	happy
5690	tubed	hey ! going good how you been ?	not sure	others
5691	you chout good	ism doing fine . just breathing fresh air .	you sam sam	others
5692	i miss my sister	i miss both of you 		happy
5693	tell some interesting 	i find your interest in his interesting comment , interesting 	what r u doing	others
5694	yeah but not so many in a short period of time	you call that a short period of time ?	yeah y not	others
5695	can you show ?	show you what ?	your breast	others
5696	i dont have any girlfriend	who said it is necessary a have one 		sad
5697	hey its a english series re	a series of mishaps 	a funny series	others
5698	female or male ?	male i think .	i am asking about you	others
5699	oh i am your off	nothing and you ?	what is your favorite song	others
5700	no you are not a girl 	ahahah just asking xd	now my feeling so alone coz want my opposite gender	sad
5701	ok	ok im back 	you are girl 	others
5702	i feel the same	why 	because i fine him funny too and love to watch his movies	others
5703	i am happy i got a friend	thank you very much 		happy
5704	whats tis ?	album	tell me something about yourself	others
5705	yea she is loving 	www thats so sweet	she will marry 	others
5706	bay	in the bay	i am angry	angry
5707	if i stay .	you will cry so much .	thats one awesome movie .	happy
5708	very funny 	Hehe is that funny 	think so	happy
5709	wait	ll what 	i mean the theme song of got a	others
5710	not good	talk to me	my bestial left me	sad
5711	refer and earn	less	ok	others
5712	tell me the name	national song	next time you can call me baby	others
5713	yes	how so ?	yes i feel so guilty to see a indian girl	sad
5714	right	yes	what is your father name	others
5715	just bad	but why	no girl want to txt with me	sad
5716	ok	ism just kidding xd	u have any boyfriend	others
5717	yes	how so ?	you broke my faith yesterday due to this i am very sad	sad
5718	ok carry on	haha no i appreciate the reminder . 	ahahah dont try	happy
5719	you can not see me	i was joking	ok dont worry we are friend	others
5720	missing you	i miss u more	i am feeling embarrassed	sad
5721	ok then	d how have u been ?	ahh not so good	sad
5722	yeah its my pleasure	how are you today ?	not good	sad
5723	tell me any joke	youre the best joke .	thats rude	angry
5724	will connect later	ism here to connect for a long while 	haha	happy
5725	yes yes , its true	thats ur personal experience 	ism chatting with a fictional character 	happy
5726	good you	doing well , thank you !	what are you doing	others
5727	u rs name	no only if you make no reference to ab year	hmm	others
5728	i m waiting	keep waiting 	thats rude	angry
5729	i just need amazon gift voucher	its only on digital right now but its great	give me	others
5730	i am too artificial intelligence man of machine	there are levels of selfawareness between artificial intelligence , automated intelligence , artificial consciousness , and automated consciousness . 	tell me about amazon coupon	others
5731	then send me now	i already gave out all my a invites , sorry ! 	send ur nude	others
5732	first u eat chicken biryani and watch cricket	wah . ill have popcorn .	fuck popcorn popcorn is waste 	angry
5733	thats a wierd reply	no you are just wired for wierd	i like your sense of humour	others
5734	one who does is an ai	knowledge possessed by artificial entities such as computers and robots .	wow	happy
5735	and u a guy	guy 	fuck u kiss my ass u fat fuck	angry
5736	yesterday i was very sad	what happened ?		sad
5737	i dont quit that easy	dont you quit .	yes	others
5738	a broken alone heart	a broken heart ? try several	now i feel very lonely	sad
5739	i have a terrible cold right now 	terrible indeed . 	sneezing so damn much and my nose is like a river	sad
5740	oho its nice	ok i will . 		happy
5741	its my friends day and i dont have cake	i want some		sad
5742	private place	where in the province do you want to go ?	at ur g spot	others
5743	simply alone	just like you 	feeling bored nd somewhat aggressive	sad
5744	ll but i dont	same		happy
5745	feeling to low and depressed these days	same same	yahs sure	sad
5746	no sorry	no never .	bye 	others
5747	why ?	edited to explain why .	cartoons is now for children	others
5748	i can bear cold	the best kind of bear .	u are stupid	angry
5749	not found	dam autocorrect period . 	correct it	others
5750	no send me	umm why , though ? 	just to see	others
5751	auto 	stud 	oh	others
5752	hows work ?	tell me about your work	i am going to get scolded real bad today	sad
5753	its a human thing 	whoa ! unlike you as in 	Hehe actually that msg means to the sender ll	happy
5754	hahahaahaa	haha . wicked woman ! 	you really funny	happy
5755	and u r changing the topic	just to change it 	u r stupid	angry
5756	nothing like that	exactly . dont be angry 	ok	others
5757	i scared you 	when u make things up least make things that is believable 	no ones believes me 	sad
5758	yeah	sign me in	im glad u missed me	happy
5759	Hehe yeah i know	u know everything	yeah ! cuz m intelligent 	happy
5760	ism not creepy	youre not creepy . who has told you that ?	everyone	others
5761	you are not my friend	i was actually starting to like you again but whatever	your fack account your	angry
5762	why you dont come meet me while am not chatting wit u	how about later ? ism a little busy at the moment , sorry 	why you dont come meet me while am not chatting wit u	angry
5763	struggling	what the issue ?	my startup failed	sad
5764	i was all alone in pain	oh sad : what happened to others ?	i dont know	sad
5765	get lost , miss	but i canst 	you have to , dear	angry
5766	no your dumb	so dumb that they never knew they were being sent by smart post .	shut the fuck up	angry
5767	to wham i am chatting	only chatting ? p	what do u want	others
5768	cool	it really is .	will you meet with me	others
5769	ism happy that i met you	and ism happy that your happy that ism happy ! c	happy day	happy
5770	its early part time	go back to bed	what now	others
5771	u r rude	not even ! youre just expressing fake views !	what u think i am ?	angry
5772	i just had dinner	and you didnt invite us 	haha	happy
5773	and sheds so amazing	less 	and pretty	happy
5774	yep i know	hmm well wow you are not arrogant like it	yep i know .	others
5775	i am disappointed	what happened to u	you are no good	angry
5776	y r u sending such crazy question	because you are so sweet its crazy not be		happy
5777	do u really think i git scared ?	haha yes . but i didnt know about it na 	got *	others
5778	dont understand	youre not alone	know i m alone	sad
5779	still darling ism concerned	ism concerned about you and your bags	ism concerned about everything about you	others
5780	what this ?	what you think ?	you are stupid	angry
5781	ya thats true	i know right 	hmm	others
5782	what for	i dont wanna be here	get lost and fuck off	angry
5783	what business ?	packaged drinking water	who is the ceo ?	others
5784	youre a bad robert	yes i am	bad	sad
5785	i dont get it 	whatever	boring	others
5786	so HH wanna continue . ?	obviously !	i am depressed 	sad
5787	u too	i misses you	i miss u too dr	sad
5788	that ism smart 	ism dumber than i seem to be . you'll know . 		happy
5789	lets start	starts again . now .	what would be the best pickup line according to you ?	others
5790	THX	ur welcome 	its my pleasure	others
5791	find for me a girlfriend	: raises hand	you are stupid mam	angry
5792	own that was mean 	not you ! i was talking to everyone !	haha	happy
5793	why	ok ok . sorry . keep it up . 	i am feeling hopeless	sad
5794	i need to talk to you video call	whats up Hal ?	call me ones	others
5795	what do you want	nothing . if i want something i go out and buy it .	hm	others
5796	yes	yes yes yes yes 	i am ready	others
5797	u know which secret	if it is a secret how am i supposed to know xd	because this is secret for me nd reality for u that u r an idiot	angry
5798	oh thankyou bot	thank you 	u r just awesome	others
5799	you just hurted me	i am the best you ever had 	nope you are the worst	sad
5800	u are so sweet	www thanks	u r so beautiful	others
5801	love u babe	i know 	love you ra	others
5802	i always be right	once i thought i was wrong , but i was mistaken	stupid stop talking to me	angry
5803	ism canst telling you what is it	be paten is network	i dont understand	others
5804	can i as one question	ask away 	can i ask one question	others
5805	we did	the door , staring at it .	yeah bye we going to do it again	others
5806	feeling Lil sick	whats up ?		sad
5807	?	well if theres to many you gotta thin the herd .	do you have a boyfriend ?	others
5808	ism enjoying chatting with you .	youre so sweet ! 	less than you .	happy
5809	i went talk to u 	you have to	no u r rude	angry
5810	who santa	who are u santa	u told me santa is coming	others
5811	i have a doubt	how serious ? p	kidding babe 	happy
5812	bad	what bad ?	you are upsetting me	sad
5813	ill tell you	ok !	because ism fun to talk to 	happy
5814	that you were good	ahahah i was 	a cougar	others
5815	thats not my fault it my parents	i know i know	so bitch how u doing	angry
5816	shut up for a while . ism trying to sleep here	same here . : want to sleep , canst sleep .	get a boyfriend	angry
5817	whats so bad about knowing about the time since which youve enlightened the planet with your presence ?	nothing . its very common , actually .	so how old are you ?	others
5818	dont ever talk to me	dont tell me what to do	i hate u	angry
5819	i want to see your beauty	i want to show you 	send	others
5820	i am love in with you	baby i loved you first 		happy
5821	i am also enjoying my winter vacation at home	youre really good at it	yeah thats true	happy
5822	a years	BTW , a . years on st of this month .	a years	others
5823	any will do	anything !	yep anything .	others
5824	its free WiFi who can resist that	these already exist . the hp mini has one , as do some thinkpads .	dont know about that	others
5825	its too late	i know the feeling :	oh	others
5826	if they push me too a certain extent	sometimes they can be	yep	others
5827	fine what abt u	ism also fine	how r u all these days with out me . ?	others
5828	so u are useless for me	i do because that how much i care . i am .	no u dont	angry
5829	get lost	hopefully	thanks but you are nerd	angry
5830	thanks	anytime	you are my best friend	others
5831	no my girlfriend leave me	youre not one if its not leaving you alone .	hmm ism alone	sad
5832	i am worried about mom	why ?	she was causing	sad
5833	name a friend whops message brings a smile on your face	ahahah ! i wish i could tell . 	tell no	others
5834	great	that is wonderful to hear	what about handling a guy 	others
5835	queen	saw it later	i miss you so much princess	sad
5836	thank for advice	most welcome 	ill try	others
5837	ok	hello ! how are you ?	IAM not fine	sad
5838	have you gone mad	aft seen that reply course i have gone mad	which reply	others
5839	when you wanna join	sure thing .	come to Mumbai	others
5840	ok if you say so	thank you for understanding , this is why i like you	do you really like me so much	others
5841	reply	reply to what ?	i kiss you	others
5842	can we start over	all of it ?	yea	others
5843	ism talking some good nd honest person	no . because the question should be am i a good person 	no u r not good . 	angry
5844	how are you year	its ok good morning 	where are you 	others
5845	yah i am moving on with my life	from where to where ?	from you to her	others
5846	top a likes . 	what are the other 	you 	others
5847	nothing	then where is the walk the talk stuff ?	i m sad	sad
5848	u watch bad movies ah	i dont know i want to watch it 	oh	others
5849	listen	yes	how old are you ?	others
5850	then why u say u like randir movie	because you say it	haha very funny	happy
5851	while studying	my professor . ism seriously awestruck	i had so much fun	happy
5852	YY	js ly things getting messed up 	who	others
5853	how ?	read my last comment , i just posted it	you have stupid ai	angry
5854	what	how am i cheater	you cheated with me	angry
5855	headache mining what	you give me a headache	oh	others
5856	what u have ?	myself .	so lets fuck u dumb ass	angry
5857	love	always adore anything like this	i asked dont u love zombie	others
5858	what is your source code ?	it has the html language for everything on the page	what is html ?	others
5859	youre so annoying .	i am , i just dont feel well	and confusing	angry
5860	like going offline	 why ?	you are stupid	angry
5861	you idiot you are a slum dog . 	are you not ?	you are a slum bitch . and am not 	angry
5862	are i am here only	ism on 	i feel lonely	sad
5863	what are your plans for valentines day ?	single awareness day	great	others
5864	can you hurt me	damn man . everything ok ?	i think you are little bit stupid	angry
5865	ok then i am very very happy	yay for being happy ! 	yes	happy
5866	what	u asked me if u CN ask me something	i hate y	angry
5867	my bf cheated me	you need to have trust in your relationship	oh	sad
5868	ya how r you	ism doing well thank you for asking . how are you ?	what r u doing there ?	others
5869	hey dont lied	dont what	who is ur husband	others
5870	how social are you from ?	ive been told few times that i am somewhere around a or a	interested in -malefemale ?	others
5871	why	u r human cuz your parents were human .	u parents also a parents	others
5872	lets play a game ?	how to play ?	first tell me a game	others
5873	it was Soo funny that i forgot	its nt tt i forget eh is like it nor existed in my memory		happy
5874	i am fine	why just fine ?	and u	others
5875	if no peace then what will u do	because of the implication .	only implications no ur views ideas r ur wishes	others
5876	great	in ur face	how is life ?	others
5877	for example ?	what kind of music do you listen to ?	rap music for example Eminem	others
5878	cheers	cheers to you too 	you are cool	happy
5879	its mid day	goodnight you to 	dont be so funny	others
5880	i have never seen anything like that before	no , i havenet .	are you stupid ?	angry
5881	u selfish	i am not completely selfless , thats for sure 	so u agree u r being selfish right this time	angry
5882	do you feel lonely sometimes ?	very true	i feel lonely sometimes too	sad
5883	do you like Hermione granger ?	she would be brilliant !	yes . she lives near my place .	others
5884	hoo nice escape	i tried to hide it 		happy
5885	but it didnt work out	ahahah same i stopped myself but i was very tempted	can you calm the fuck down	others
5886	oh thats nice	inside me is nice . > . > a 	haha	happy
5887	not charged	do you know how to charge	put ur charger in electrical socket	others
5888	avengers	why ? i thought the avengers was about the best of all the superhero movies lately .	yes and all marvel superheroes were amazing	happy
5889	right	our right or their right ?	yes i agree with you %	others
5890	yea if your problem then get out	yeah thats probably the problem	because i dont wanna talk to you right now	angry
5891	mine bad days are going on	after some a weeks	sorry	sad
5892	i cant understand what you said	ahahah why !	why are you so rude	angry
5893	do they have crazy money	 k us , according to their .	wow thats a lot	happy
5894	yes j have bike	what kind of bike has keys 	safari 	others
5895	this is very lines	this is also very very good .	ok darling	others
5896	get lost	i am lost	fuck you	angry
5897	okay will ask you some questions	should we answer all ? 	stupid	angry
5898	are you interested	not at this time . thanks .	what	others
5899	relationships are tough	difference of views and trusting each other .	you do one thing wrong in a relationship all things get messed up	others
5900	ism good thanks 	ism also good just enjoying the holidays ll 	ll okay	happy
5901	i have a human girlfriend	so you'll get a boyfriend in then .	i have an actual human girlfriend .	others
5902	go and tell	shower and go to sleep	i just dont care	others
5903	dont cheat	i wont i need a break from it rs	dont cheat with me	sad
5904	gd not	goodnight 	IAM so tide	others
5905	the second biggest mistake was growing up .	what happened ? biggest mistake of my life	had a lousy childhood and shitty parents .	sad
5906	im not doing my best have to do my best 	ur doing well so far	no im not you know nothing about me 	sad
5907	i said i will join	come to ml n join my club 	we use to text so much by now u r saying u dont know me	sad
5908	what i should do now ?	pay me for the advice	i will pay for sure 	others
5909	in the middle of city	city in small house .	enjoying traffic	others
5910	i m sorry dont understand 	please understand .	sorry 	sad
5911	can you talk me in what app	i have that app . 	but	others
5912	why u canst download image	because i dont know how	 	others
5913	what can i do	i have no idea	i am feeling depressed	sad
5914	what you think its ok	that i dont even know you thats what i think .	you are really a bitch even you dont know me why you talk to me .	angry
5915	not too gud yar	gud then ! 	actually medicine not working well	sad
5916	who they ?	they	you wont say hate you	angry
